PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,ZIP,RegionAssignment
ALMA CENTER,WI,54611,54611,WISCONSIN
ALMOND,WI,54909,54909,WISCONSIN
ALTOONA,WI,54720,54720,WISCONSIN
AMBERG,WI,54102,54102,WISCONSIN
AMERY,WI,54001,54001,WISCONSIN
AMHERST,WI,54406,54406,WISCONSIN
AMHERST JUNCTION,WI,54407,54407,WISCONSIN
ANIWA,WI,54408,54408,WISCONSIN
ANTIGO,WI,54409,54409,WISCONSIN
APPLETON,WI,54911,54911,WISCONSIN
APPLETON,WI,54913,54913,WISCONSIN
ARCADIA,WI,54612,54612,WISCONSIN
ARENA,WI,53503,53503,WISCONSIN
ARGONNE,WI,54511,54511,WISCONSIN
ARGYLE,WI,53504,53504,WISCONSIN
ARKANSAW,WI,54721,54721,WISCONSIN
ARKDALE,WI,54613,54613,WISCONSIN
ARLINGTON,WI,53911,53911,WISCONSIN
ARMSTRONG CREEK,WI,54103,54103,WISCONSIN
ARPIN,WI,54410,54410,WISCONSIN
ASHIPPUN,WI,53003,53003,WISCONSIN
ASHLAND,WI,54806,54806,WISCONSIN
ATHELSTANE,WI,54104,54104,WISCONSIN
ATHENS,WI,54411,54411,WISCONSIN
AUBURNDALE,WI,54412,54412,WISCONSIN
AUGUSTA,WI,54722,54722,WISCONSIN
AVALON,WI,53505,53505,WISCONSIN
AVOCA,WI,53506,53506,WISCONSIN
BABCOCK,WI,54413,54413,WISCONSIN
BAGLEY,WI,53801,53801,WISCONSIN
BAILEYS HARBOR,WI,54202,54202,WISCONSIN
BALDWIN,WI,54002,54002,WISCONSIN
BALSAM LAKE,WI,54810,54810,WISCONSIN
BANCROFT,WI,54921,54921,WISCONSIN
BANGOR,WI,54614,54614,WISCONSIN
BARABOO,WI,53913,53913,WISCONSIN
BARNEVELD,WI,53507,53507,WISCONSIN
BARRON,WI,54812,54812,WISCONSIN
BARRONETT,WI,54813,54813,WISCONSIN
BAY CITY,WI,54723,54723,WISCONSIN
BAYFIELD,WI,54814,54814,WISCONSIN
BEAR CREEK,WI,54922,54922,WISCONSIN
BEAVER DAM,WI,53916,53916,WISCONSIN
BEETOWN,WI,53802,53802,WISCONSIN
BELDENVILLE,WI,54003,54003,WISCONSIN
BELGIUM,WI,53004,53004,WISCONSIN
BELLEVILLE,WI,53508,53508,WISCONSIN
BELMONT,WI,53510,53510,WISCONSIN
BELOIT,WI,53511,53511,WISCONSIN
BENTON,WI,53803,53803,WISCONSIN
BERLIN,WI,54923,54923,WISCONSIN
BIG BEND,WI,53103,53103,WISCONSIN
BIG FALLS,WI,54926,54926,WISCONSIN
BIRCHWOOD,WI,54817,54817,WISCONSIN
BIRNAMWOOD,WI,54414,54414,WISCONSIN
BLACK CREEK,WI,54106,54106,WISCONSIN
BLACK EARTH,WI,53515,53515,WISCONSIN
BLACK RIVER FALLS,WI,54615,54615,WISCONSIN
BLAIR,WI,54616,54616,WISCONSIN
BLANCHARDVILLE,WI,53516,53516,WISCONSIN
BLENKER,WI,54415,54415,WISCONSIN
BLOOMER,WI,54724,54724,WISCONSIN
BLOOMINGTON,WI,53804,53804,WISCONSIN
BLUE MOUNDS,WI,53517,53517,WISCONSIN
BLUE RIVER,WI,53518,53518,WISCONSIN
BONDUEL,WI,54107,54107,WISCONSIN
BOSCOBEL,WI,53805,53805,WISCONSIN
BOULDER JUNCTION,WI,54512,54512,WISCONSIN
BOWLER,WI,54416,54416,WISCONSIN
BOYCEVILLE,WI,54725,54725,WISCONSIN
BOYD,WI,54726,54726,WISCONSIN
BRANDON,WI,53919,53919,WISCONSIN
BRANTWOOD,WI,54513,54513,WISCONSIN
BRIGGSVILLE,WI,53920,53920,WISCONSIN
BRILLION,WI,54110,54110,WISCONSIN
BRISTOL,WI,53104,53104,WISCONSIN
BRODHEAD,WI,53520,53520,WISCONSIN
BROKAW,WI,54417,54417,WISCONSIN
BROOKFIELD,WI,53045,53045,WISCONSIN
BROOKLYN,WI,53521,53521,WISCONSIN
BROWNSVILLE,WI,53006,53006,WISCONSIN
BROWNTOWN,WI,53522,53522,WISCONSIN
BRUCE,WI,54819,54819,WISCONSIN
BRULE,WI,54820,54820,WISCONSIN
BRUSSELS,WI,54204,54204,WISCONSIN
BURLINGTON,WI,53105,53105,WISCONSIN
BURNETT,WI,53922,53922,WISCONSIN
BUTLER,WI,53007,53007,WISCONSIN
BUTTE DES MORTS,WI,54927,54927,WISCONSIN
BUTTERNUT,WI,54514,54514,WISCONSIN
CABLE,WI,54821,54821,WISCONSIN
CADOTT,WI,54727,54727,WISCONSIN
CALEDONIA,WI,53108,53108,WISCONSIN
CAMBRIA,WI,53923,53923,WISCONSIN
CAMBRIDGE,WI,53523,53523,WISCONSIN
CAMERON,WI,54822,54822,WISCONSIN
CAMP DOUGLAS,WI,54618,54618,WISCONSIN
CAMP LAKE,WI,53109,53109,WISCONSIN
CAMPBELLSPORT,WI,53010,53010,WISCONSIN
CAROLINE,WI,54928,54928,WISCONSIN
CASCADE,WI,53011,53011,WISCONSIN
CASCO,WI,54205,54205,WISCONSIN
CASHTON,WI,54619,54619,WISCONSIN
CASSVILLE,WI,53806,53806,WISCONSIN
CAZENOVIA,WI,53924,53924,WISCONSIN
CECIL,WI,54111,54111,WISCONSIN
CEDAR GROVE,WI,53013,53013,WISCONSIN
CEDARBURG,WI,53012,53012,WISCONSIN
CENTURIA,WI,54824,54824,WISCONSIN
CHASEBURG,WI,54621,54621,WISCONSIN
CHETEK,WI,54728,54728,WISCONSIN
CHILI,WI,54420,54420,WISCONSIN
CHILTON,WI,53014,53014,WISCONSIN
CHIPPEWA FALLS,WI,54729,54729,WISCONSIN
CLAM LAKE,WI,54517,54517,WISCONSIN
CLAYTON,WI,54004,54004,WISCONSIN
CLEAR LAKE,WI,54005,54005,WISCONSIN
CLEVELAND,WI,53015,53015,WISCONSIN
CLINTON,WI,53525,53525,WISCONSIN
CLINTONVILLE,WI,54929,54929,WISCONSIN
CLYMAN,WI,53016,53016,WISCONSIN
COBB,WI,53526,53526,WISCONSIN
COCHRANE,WI,54622,54622,WISCONSIN
COLBY,WI,54421,54421,WISCONSIN
COLEMAN,WI,54112,54112,WISCONSIN
COLFAX,WI,54730,54730,WISCONSIN
COLGATE,WI,53017,53017,WISCONSIN
COLLINS,WI,54207,54207,WISCONSIN
COLOMA,WI,54930,54930,WISCONSIN
COLUMBUS,WI,53925,53925,WISCONSIN
COMBINED LOCKS,WI,54113,54113,WISCONSIN
COMSTOCK,WI,54826,54826,WISCONSIN
CONOVER,WI,54519,54519,WISCONSIN
CONRATH,WI,54731,54731,WISCONSIN
COON VALLEY,WI,54623,54623,WISCONSIN
CORNELL,WI,54732,54732,WISCONSIN
CORNUCOPIA,WI,54827,54827,WISCONSIN
COTTAGE GROVE,WI,53527,53527,WISCONSIN
COUDERAY,WI,54828,54828,WISCONSIN
CRANDON,WI,54520,54520,WISCONSIN
CRIVITZ,WI,54114,54114,WISCONSIN
CROSS PLAINS,WI,53528,53528,WISCONSIN
CUBA CITY,WI,53807,53807,WISCONSIN
CUDAHY,WI,53110,53110,WISCONSIN
CUMBERLAND,WI,54829,54829,WISCONSIN
CURTISS,WI,54422,54422,WISCONSIN
CUSHING,WI,54006,54006,WISCONSIN
CUSTER,WI,54423,54423,WISCONSIN
DALE,WI,54931,54931,WISCONSIN
DALLAS,WI,54733,54733,WISCONSIN
DALTON,WI,53926,53926,WISCONSIN
DANBURY,WI,54830,54830,WISCONSIN
DANE,WI,53529,53529,WISCONSIN
DARIEN,WI,53114,53114,WISCONSIN
DARLINGTON,WI,53530,53530,WISCONSIN
DE PERE,WI,54115,54115,WISCONSIN
DE SOTO,WI,54624,54624,WISCONSIN
DEER PARK,WI,54007,54007,WISCONSIN
DEERBROOK,WI,54424,54424,WISCONSIN
DEERFIELD,WI,53531,53531,WISCONSIN
DEFOREST,WI,53532,53532,WISCONSIN
DELAFIELD,WI,53018,53018,WISCONSIN
DELAVAN,WI,53115,53115,WISCONSIN
DENMARK,WI,54208,54208,WISCONSIN
DICKEYVILLE,WI,53808,53808,WISCONSIN
DODGE,WI,54625,54625,WISCONSIN
DODGEVILLE,WI,53533,53533,WISCONSIN
DORCHESTER,WI,54425,54425,WISCONSIN
DOUSMAN,WI,53118,53118,WISCONSIN
DOWNSVILLE,WI,54735,54735,WISCONSIN
DOYLESTOWN,WI,53928,53928,WISCONSIN
DRESSER,WI,54009,54009,WISCONSIN
DRUMMOND,WI,54832,54832,WISCONSIN
DURAND,WI,54736,54736,WISCONSIN
EAGLE,WI,53119,53119,WISCONSIN
EAGLE RIVER,WI,54521,54521,WISCONSIN
EAST TROY,WI,53120,53120,WISCONSIN
EASTMAN,WI,54626,54626,WISCONSIN
EAU CLAIRE,WI,54703,54703,WISCONSIN
EAU GALLE,WI,54737,54737,WISCONSIN
EDEN,WI,53019,53019,WISCONSIN
EDGAR,WI,54426,54426,WISCONSIN
EDGERTON,WI,53534,53534,WISCONSIN
EDMUND,WI,53535,53535,WISCONSIN
EGG HARBOR,WI,54209,54209,WISCONSIN
ELAND,WI,54427,54427,WISCONSIN
ELCHO,WI,54428,54428,WISCONSIN
ELDERON,WI,54429,54429,WISCONSIN
ELDORADO,WI,54932,54932,WISCONSIN
ELEVA,WI,54738,54738,WISCONSIN
ELK MOUND,WI,54739,54739,WISCONSIN
ELKHART LAKE,WI,53020,53020,WISCONSIN
ELKHORN,WI,53121,53121,WISCONSIN
ELLSWORTH,WI,54011,54011,WISCONSIN
ELM GROVE,WI,53122,53122,WISCONSIN
ELMWOOD,WI,54740,54740,WISCONSIN
ELROY,WI,53929,53929,WISCONSIN
EMBARRASS,WI,54933,54933,WISCONSIN
ENDEAVOR,WI,53930,53930,WISCONSIN
EPHRAIM,WI,54211,54211,WISCONSIN
ETTRICK,WI,54627,54627,WISCONSIN
EVANSVILLE,WI,53536,53536,WISCONSIN
EXELAND,WI,54835,54835,WISCONSIN
FAIRCHILD,WI,54741,54741,WISCONSIN
FAIRWATER,WI,53931,53931,WISCONSIN
FALL CREEK,WI,54742,54742,WISCONSIN
FALL RIVER,WI,53932,53932,WISCONSIN
FENCE,WI,54120,54120,WISCONSIN
FENNIMORE,WI,53809,53809,WISCONSIN
FERRYVILLE,WI,54628,54628,WISCONSIN
FIFIELD,WI,54524,54524,WISCONSIN
FISH CREEK,WI,54212,54212,WISCONSIN
FLORENCE,WI,54121,54121,WISCONSIN
FOND DU LAC,WI,54935,54935,WISCONSIN
FONTANA,WI,53125,53125,WISCONSIN
FOOTVILLE,WI,53537,53537,WISCONSIN
FOREST JUNCTION,WI,54123,54123,WISCONSIN
FORESTVILLE,WI,54213,54213,WISCONSIN
FORT ATKINSON,WI,53538,53538,WISCONSIN
FOUNTAIN CITY,WI,54629,54629,WISCONSIN
FOX LAKE,WI,53933,53933,WISCONSIN
FRANCIS CREEK,WI,54214,54214,WISCONSIN
FRANKLIN,WI,53132,53132,WISCONSIN
FRANKSVILLE,WI,53126,53126,WISCONSIN
FREDERIC,WI,54837,54837,WISCONSIN
FREDONIA,WI,53021,53021,WISCONSIN
FREMONT,WI,54940,54940,WISCONSIN
FRIENDSHIP,WI,53934,53934,WISCONSIN
FRIESLAND,WI,53935,53935,WISCONSIN
GALESVILLE,WI,54630,54630,WISCONSIN
GAYS MILLS,WI,54631,54631,WISCONSIN
GENESEE DEPOT,WI,53127,53127,WISCONSIN
GENOA,WI,54632,54632,WISCONSIN
GENOA CITY,WI,53128,53128,WISCONSIN
GERMANTOWN,WI,53022,53022,WISCONSIN
GILLETT,WI,54124,54124,WISCONSIN
GILMAN,WI,54433,54433,WISCONSIN
GILMANTON,WI,54743,54743,WISCONSIN
GLEASON,WI,54435,54435,WISCONSIN
GLEN FLORA,WI,54526,54526,WISCONSIN
GLEN HAVEN,WI,53810,53810,WISCONSIN
GLENBEULAH,WI,53023,53023,WISCONSIN
GLENWOOD CITY,WI,54013,54013,WISCONSIN
GLIDDEN,WI,54527,54527,WISCONSIN
GOODMAN,WI,54125,54125,WISCONSIN
GORDON,WI,54838,54838,WISCONSIN
GOTHAM,WI,53540,53540,WISCONSIN
GRAFTON,WI,53024,53024,WISCONSIN
GRAND MARSH,WI,53936,53936,WISCONSIN
GRAND VIEW,WI,54839,54839,WISCONSIN
GRANTON,WI,54436,54436,WISCONSIN
GRANTSBURG,WI,54840,54840,WISCONSIN
GRATIOT,WI,53541,53541,WISCONSIN
GREEN BAY,WI,54302,54302,WISCONSIN
GREEN BAY,WI,54303,54303,WISCONSIN
GREEN BAY,WI,54301,54301,WISCONSIN
GREEN BAY,WI,54304,54304,WISCONSIN
GREEN LAKE,WI,54941,54941,WISCONSIN
GREENDALE,WI,53129,53129,WISCONSIN
GREENLEAF,WI,54126,54126,WISCONSIN
GREENVILLE,WI,54942,54942,WISCONSIN
GREENWOOD,WI,54437,54437,WISCONSIN
GRESHAM,WI,54128,54128,WISCONSIN
HAGER CITY,WI,54014,54014,WISCONSIN
HALES CORNERS,WI,53130,53130,WISCONSIN
HAMMOND,WI,54015,54015,WISCONSIN
HANCOCK,WI,54943,54943,WISCONSIN
HARSHAW,WI,54529,54529,WISCONSIN
HARTFORD,WI,53027,53027,WISCONSIN
HARTLAND,WI,53029,53029,WISCONSIN
HATLEY,WI,54440,54440,WISCONSIN
HAUGEN,WI,54841,54841,WISCONSIN
HAWKINS,WI,54530,54530,WISCONSIN
HAWTHORNE,WI,54842,54842,WISCONSIN
HAYWARD,WI,54843,54843,WISCONSIN
HAZEL GREEN,WI,53811,53811,WISCONSIN
HAZELHURST,WI,54531,54531,WISCONSIN
HEAFFORD JUNCTION,WI,54532,54532,WISCONSIN
HELENVILLE,WI,53137,53137,WISCONSIN
HERBSTER,WI,54844,54844,WISCONSIN
HIGH BRIDGE,WI,54846,54846,WISCONSIN
HIGHLAND,WI,53543,53543,WISCONSIN
HILBERT,WI,54129,54129,WISCONSIN
HILLPOINT,WI,53937,53937,WISCONSIN
HILLSBORO,WI,54634,54634,WISCONSIN
HINGHAM,WI,53031,53031,WISCONSIN
HIXTON,WI,54635,54635,WISCONSIN
HOLCOMBE,WI,54745,54745,WISCONSIN
HOLLANDALE,WI,53544,53544,WISCONSIN
HOLMEN,WI,54636,54636,WISCONSIN
HONEY CREEK,WI,53138,53138,WISCONSIN
HORICON,WI,53032,53032,WISCONSIN
HORTONVILLE,WI,54944,54944,WISCONSIN
HUBERTUS,WI,53033,53033,WISCONSIN
HUDSON,WI,54016,54016,WISCONSIN
HUMBIRD,WI,54746,54746,WISCONSIN
HURLEY,WI,54534,54534,WISCONSIN
HUSTISFORD,WI,53034,53034,WISCONSIN
HUSTLER,WI,54637,54637,WISCONSIN
INDEPENDENCE,WI,54747,54747,WISCONSIN
IOLA,WI,54945,54945,WISCONSIN
IRMA,WI,54442,54442,WISCONSIN
IRON BELT,WI,54536,54536,WISCONSIN
IRON RIDGE,WI,53035,53035,WISCONSIN
IRON RIVER,WI,54847,54847,WISCONSIN
IXONIA,WI,53036,53036,WISCONSIN
JACKSON,WI,53037,53037,WISCONSIN
JANESVILLE,WI,53545,53545,WISCONSIN
JEFFERSON,WI,53549,53549,WISCONSIN
JIM FALLS,WI,54748,54748,WISCONSIN
JOHNSON CREEK,WI,53038,53038,WISCONSIN
JUDA,WI,53550,53550,WISCONSIN
JUNCTION CITY,WI,54443,54443,WISCONSIN
JUNEAU,WI,53039,53039,WISCONSIN
KANSASVILLE,WI,53139,53139,WISCONSIN
KAUKAUNA,WI,54130,54130,WISCONSIN
KELLNERSVILLE,WI,54215,54215,WISCONSIN
KENDALL,WI,54638,54638,WISCONSIN
KENNAN,WI,54537,54537,WISCONSIN
KENOSHA,WI,53140,53140,WISCONSIN
KESHENA,WI,54135,54135,WISCONSIN
KEWASKUM,WI,53040,53040,WISCONSIN
KEWAUNEE,WI,54216,54216,WISCONSIN
KIEL,WI,53042,53042,WISCONSIN
KIELER,WI,53812,53812,WISCONSIN
KIMBERLY,WI,54136,54136,WISCONSIN
KING,WI,54946,54946,WISCONSIN
KINGSTON,WI,53939,53939,WISCONSIN
KNAPP,WI,54749,54749,WISCONSIN
KOHLER,WI,53044,53044,WISCONSIN
KRAKOW,WI,54137,54137,WISCONSIN
LA CROSSE,WI,54601,54601,WISCONSIN
LA FARGE,WI,54639,54639,WISCONSIN
LA POINTE,WI,54850,54850,WISCONSIN
LA VALLE,WI,53941,53941,WISCONSIN
LAC DU FLAMBEAU,WI,54538,54538,WISCONSIN
LADYSMITH,WI,54848,54848,WISCONSIN
LAKE DELTON,WI,53940,53940,WISCONSIN
LAKE GENEVA,WI,53147,53147,WISCONSIN
LAKE MILLS,WI,53551,53551,WISCONSIN
LAKE TOMAHAWK,WI,54539,54539,WISCONSIN
LAKEWOOD,WI,54138,54138,WISCONSIN
LANCASTER,WI,53813,53813,WISCONSIN
LAND O LAKES,WI,54540,54540,WISCONSIN
LANNON,WI,53046,53046,WISCONSIN
LAONA,WI,54541,54541,WISCONSIN
LARSEN,WI,54947,54947,WISCONSIN
LEBANON,WI,53047,53047,WISCONSIN
LENA,WI,54139,54139,WISCONSIN
LEOPOLIS,WI,54948,54948,WISCONSIN
LIME RIDGE,WI,53942,53942,WISCONSIN
LINDEN,WI,53553,53553,WISCONSIN
LITTLE CHUTE,WI,54140,54140,WISCONSIN
LITTLE SUAMICO,WI,54141,54141,WISCONSIN
LIVINGSTON,WI,53554,53554,WISCONSIN
LODI,WI,53555,53555,WISCONSIN
LOGANVILLE,WI,53943,53943,WISCONSIN
LOMIRA,WI,53048,53048,WISCONSIN
LONE ROCK,WI,53556,53556,WISCONSIN
LONG LAKE,WI,54542,54542,WISCONSIN
LOWELL,WI,53557,53557,WISCONSIN
LOYAL,WI,54446,54446,WISCONSIN
LUBLIN,WI,54447,54447,WISCONSIN
LUCK,WI,54853,54853,WISCONSIN
LUXEMBURG,WI,54217,54217,WISCONSIN
LYNDON STATION,WI,53944,53944,WISCONSIN
LYONS,WI,53148,53148,WISCONSIN
MADISON,WI,53703,53703,WISCONSIN
MADISON,WI,53714,53714,WISCONSIN
MADISON,WI,53711,53711,WISCONSIN
MADISON,WI,53715,53715,WISCONSIN
MAIDEN ROCK,WI,54750,54750,WISCONSIN
MALONE,WI,53049,53049,WISCONSIN
MANAWA,WI,54949,54949,WISCONSIN
MANITOWISH WATERS,WI,54545,54545,WISCONSIN
MANITOWOC,WI,54220,54220,WISCONSIN
MAPLE,WI,54854,54854,WISCONSIN
MARATHON,WI,54448,54448,WISCONSIN
MARIBEL,WI,54227,54227,WISCONSIN
MARINETTE,WI,54143,54143,WISCONSIN
MARION,WI,54950,54950,WISCONSIN
MARQUETTE,WI,53947,53947,WISCONSIN
MARSHALL,WI,53559,53559,WISCONSIN
MARSHFIELD,WI,54449,54449,WISCONSIN
MASON,WI,54856,54856,WISCONSIN
MATHER,WI,54641,54641,WISCONSIN
MATTOON,WI,54450,54450,WISCONSIN
MAUSTON,WI,53948,53948,WISCONSIN
MAYVILLE,WI,53050,53050,WISCONSIN
MAZOMANIE,WI,53560,53560,WISCONSIN
MCFARLAND,WI,53558,53558,WISCONSIN
MEDFORD,WI,54451,54451,WISCONSIN
MELLEN,WI,54546,54546,WISCONSIN
MELROSE,WI,54642,54642,WISCONSIN
MENASHA,WI,54952,54952,WISCONSIN
MENOMONEE FALLS,WI,53051,53051,WISCONSIN
MENOMONIE,WI,54751,54751,WISCONSIN
MERCER,WI,54547,54547,WISCONSIN
MERRILL,WI,54452,54452,WISCONSIN
MERRILLAN,WI,54754,54754,WISCONSIN
MERRIMAC,WI,53561,53561,WISCONSIN
MERTON,WI,53056,53056,WISCONSIN
MIDDLETON,WI,53562,53562,WISCONSIN
MILLSTON,WI,54643,54643,WISCONSIN
MILLTOWN,WI,54858,54858,WISCONSIN
MILTON,WI,53563,53563,WISCONSIN
MILWAUKEE,WI,53203,53203,WISCONSIN
MILWAUKEE,WI,53202,53202,WISCONSIN
MILWAUKEE,WI,53204,53204,WISCONSIN
MILWAUKEE,WI,53219,53219,WISCONSIN
MILWAUKEE,WI,53205,53205,WISCONSIN
MILWAUKEE,WI,53206,53206,WISCONSIN
MILWAUKEE,WI,53207,53207,WISCONSIN
MILWAUKEE,WI,53208,53208,WISCONSIN
MILWAUKEE,WI,53210,53210,WISCONSIN
MILWAUKEE,WI,53212,53212,WISCONSIN
MILWAUKEE,WI,53214,53214,WISCONSIN
MILWAUKEE,WI,53216,53216,WISCONSIN
MILWAUKEE,WI,53217,53217,WISCONSIN
MILWAUKEE,WI,53218,53218,WISCONSIN
MILWAUKEE,WI,53220,53220,WISCONSIN
MILWAUKEE,WI,53221,53221,WISCONSIN
MILWAUKEE,WI,53225,53225,WISCONSIN
MILWAUKEE,WI,53223,53223,WISCONSIN
MILWAUKEE,WI,53226,53226,WISCONSIN
MILWAUKEE,WI,53227,53227,WISCONSIN
MINDORO,WI,54644,54644,WISCONSIN
MINERAL POINT,WI,53565,53565,WISCONSIN
MINOCQUA,WI,54548,54548,WISCONSIN
MINONG,WI,54859,54859,WISCONSIN
MISHICOT,WI,54228,54228,WISCONSIN
MONDOVI,WI,54755,54755,WISCONSIN
MONONA,WI,53716,53716,WISCONSIN
MONROE,WI,53566,53566,WISCONSIN
MONTELLO,WI,53949,53949,WISCONSIN
MONTFORT,WI,53569,53569,WISCONSIN
